tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_war,film_is_documentary,film_is_history,film_is_science_fiction,film_is_tv_movie,film_is_adventure,film_is_music,film_is_crime,film_is_fantasy,film_is_horror,film_is_thriller,film_is_drama,film_is_animation,film_is_romance,film_is_mystery,film_is_action,film_is_comedy,film_is_family,film_is_western
442062,Goosebumps 2: Haunted Halloween,26521423,5,Hadouken,Dominic Lewis,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41.0,80.0,Hadouken,2py4mdwU8jhTHjvMpFN8Ry,https://open.spotify.com/track/2py4mdwU8jhTHjvMpFN8Ry,2.0,F#,minor,11A,82.0,57.0,69.0,52.0,47.0,0.0,7.0,34.0,-8.0,4.382026634673881,Dominic Lewis,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
83533,Avatar: Fire and Ash,55067758,7,Mangkwan Attack,Simon Franglen,2025,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1548.0,3758.0,Mangkwan Attack,10hjDRaxfu7sAbytXvjqZX,https://open.spotify.com/track/10hjDRaxfu7sAbytXvjqZX,47.0,D,minor,7A,120.0,68.0,25.0,8.0,38.0,93.0,22.0,7.0,-12.0,8.231642179973411,Simon Franglen,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
522938,Rambo: Last Blood,29143794,9,Destination,Brian Tyler,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,244.0,1244.0,Destination,2ebNOTKPp1mqOQLcgi2ngj,https://open.spotify.com/track/2ebNOTKPp1mqOQLcgi2ngj,32.0,A,major,11B,165.0,92.0,38.0,28.0,0.0,87.0,8.0,5.0,-7.0,7.126087273299125,Brian Tyler,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
881164,Boston Strangler,41805211,40,Closure,Paul Leonard‐Morgan,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,6.0,Closure,0rsH1qje0E6TeYu73Aek4B,https://open.spotify.com/track/0rsH1qje0E6TeYu73Aek4B,10.0,E,minor,9A,125.0,10.0,24.0,3.0,88.0,96.0,8.0,4.0,-22.0,1.791759469228055,Paul Leonard-Morgan,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
976720,Vesper,40528497,7,The Lady in the Nest,Dan Levy,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115.0,214.0,The Lady in the Nest,2QwchD5RWkhtK4zaHYs4En,https://open.spotify.com/track/2QwchD5RWkhtK4zaHYs4En,3.0,C#,major,3B,81.0,6.0,47.0,40.0,91.0,0.0,7.0,3.0,-20.0,5.365976015021851,Dan Levy,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
346685,The Girl on the Train,21590041,2,Something's Not Right,Danny Elfman,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,881.0,2326.0,Something's Not Right,4v0yqCQfdMGezsv50I46RM,https://open.spotify.com/track/4v0yqCQfdMGezsv50I46RM,12.0,E,major,12B,160.0,72.0,71.0,82.0,3.0,0.0,25.0,19.0,-7.0,7.75190533307861,Danny Elfman,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
537996,The Ballad of Buster Scruggs,26669715,18,The Oregon Trail,Carter Burwell,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1799.0,5227.0,The Oregon Trail,0UkZwOwd0TbfMEcrh16cDB,https://open.spotify.com/track/0UkZwOwd0TbfMEcrh16cDB,17.0,F,major,7B,148.0,25.0,21.0,19.0,85.0,95.0,11.0,4.0,-15.0,8.561592778712923,Carter Burwell,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True
302946,The Accountant,22385025,6,Specialized Training,Mark Isham,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,404.0,974.0,Specialized Training,0HHYoh0Y5OAmwsf7MpufgU,https://open.spotify.com/track/0HHYoh0Y5OAmwsf7MpufgU,10.0,A#,minor,3A,93.0,16.0,27.0,4.0,47.0,89.0,10.0,4.0,-22.0,6.881411303642535,Mark Isham,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
297802,Aquaman,26930868,4,It Wasn’t Meant to Be,Rupert Gregson‐Williams,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0,21.0,It Wasn't Meant to Be,6XEVnayezM1PfNUGs0plJp,https://open.spotify.com/track/6XEVnayezM1PfNUGs0plJp,27.0,F#,major,2B,75.0,89.0,46.0,64.0,1.0,0.0,14.0,6.0,-3.0,3.044522437723423,Rupert Gregson-Williams,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
505642,Black Panther: Wakanda Forever,40429327,16,Imperius Rex,Ludwig Göransson,2022,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1515.0,3396.0,Imperius Rex,0APtplaVxtO14rP377VEDy,https://open.spotify.com/track/0APtplaVxtO14rP377VEDy,24.0,C#,major,3B,140.0,56.0,27.0,13.0,18.0,85.0,24.0,7.0,-14.0,8.130353547431238,Ludwig Göransson,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
681887,Cosmic Sin,34686881,23,Prepare For Battle,Scott Glasgow,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,7.0,Prepare For Battle,3beBzf2PqPBGyohz7RA2sO,https://open.spotify.com/track/3beBzf2PqPBGyohz7RA2sO,0.0,G#,minor,1A,91.0,73.0,91.0,69.0,21.0,0.0,5.0,29.0,-7.0,1.9459101490553128,Scott Glasgow,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
153518,The Angry Birds Movie,22174441,19,I Used to Believe in You,Heitor Pereira,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110.0,176.0,I Used to Believe in You,3dzkJJCpPUdGJeixBPGG8W,https://open.spotify.com/track/3dzkJJCpPUdGJeixBPGG8W,8.0,A,major,11B,88.0,48.0,25.0,8.0,18.0,0.0,36.0,3.0,-8.0,5.170483995038151,Heitor Pereira,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False
484641,Anna,28626527,1,I Am Criminal,Eric Serra & Mitivaï Serra,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,215.0,673.0,I Am Criminal,5rowtcx8mQeviREsxTW9c8,https://open.spotify.com/track/5rowtcx8mQeviREsxTW9c8,19.0,D#,minor,2A,160.0,95.0,53.0,76.0,1.0,0.0,7.0,21.0,-3.0,6.511745329644728,Éric Serra,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
752623,The Lost City,38109242,17,Watch Your Step,Pinar Toprak,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91.0,156.0,Watch Your Step,6ZQz2gmPl9koR8ADJwJUCz,https://open.spotify.com/track/6ZQz2gmPl9koR8ADJwJUCz,2.0,C,major,8B,176.0,91.0,57.0,56.0,13.0,0.0,25.0,29.0,-4.0,5.049856007249537,Pinar Toprak,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
1079091,It Ends with Us,48062007,14,Proposal,Rob Simonsen & Duncan Blickenstaff,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.0,47.0,Proposal,73cjOuu3cPZOzFjY6F3omk,https://open.spotify.com/track/73cjOuu3cPZOzFjY6F3omk,16.0,C,major,8B,76.0,6.0,21.0,4.0,77.0,45.0,8.0,4.0,-25.0,3.8501476017100575,Rob Simonsen,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
455207,Crazy Rich Asians,26095848,8,Rainy Nights in London,Brian Tyler,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,630.0,2445.0,Rainy Nights in London,4kYWfmJQVfhxhNb6J0Ml6p,https://open.spotify.com/track/4kYWfmJQVfhxhNb6J0Ml6p,19.0,F#,major,2B,164.0,85.0,57.0,41.0,5.0,0.0,8.0,6.0,-4.0,7.801800401908973,Brian Tyler,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
