tmdb_id,film_title,track_id,track_number,track_title,recording_artist_credit,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_track_listeners,lfm_track_playcount,track_title_cleaned,spotify_track_id,spotify_url,spotify_popularity,key,mode,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,log_lfm_track_playcount,composer_primary_clean,film_is_drama,film_is_horror,film_is_science_fiction,film_is_action,film_is_fantasy,film_is_mystery,film_is_western,film_is_animation,film_is_documentary,film_is_history,film_is_music,film_is_war,film_is_crime,film_is_adventure,film_is_thriller,film_is_tv_movie,film_is_family,film_is_comedy,film_is_romance
102899,Ant-Man,19063226,15,Scott Surfs on Ants,Christophe Beck,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1368.0,6848.0,Scott Surfs on Ants,0r6i3m1Gy5L3hYrSnjFmBX,https://open.spotify.com/track/0r6i3m1Gy5L3hYrSnjFmBX,11.0,C#,major,3B,173.0,85.0,52.0,61.0,7.0,81.0,6.0,5.0,-8.0,8.831711917821577,Christophe Beck,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1246049,Dracula,53040120,3,Asylum,Danny Elfman,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,603.0,1324.0,Asylum,4rsvMTrv62PqRPJR4NQ61y,https://open.spotify.com/track/4rsvMTrv62PqRPJR4NQ61y,28.0,C#,major,3B,63.0,12.0,20.0,4.0,45.0,91.0,19.0,4.0,-20.0,7.188412736496954,Danny Elfman,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
136799,Trolls,21177282,2,Can’t Stop the Feeling!,Justin Timberlake,2016,False,False,True,False,False,False,True,False,False,False,True,False,False,False,7983.0,267105.0,Can't Stop the Feeling!,1WkMMavIMc4JZ8cfMmxHkI,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,72.0,C,major,8B,113.0,83.0,67.0,70.0,1.0,0.0,10.0,7.0,-6.0,12.495397118503524,Christophe Beck,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False
1102776,AKA,42304952,1,aka,Etienne Forget,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,159.0,561.0,aka,4qyZ9KI6250cJxXwPMLb2h,https://open.spotify.com/track/4qyZ9KI6250cJxXwPMLb2h,2.0,D,minor,7A,72.0,10.0,17.0,4.0,88.0,92.0,9.0,4.0,-18.0,6.329720905522696,Etienne Forget,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
363088,Ant-Man and the Wasp,25911920,16,Windshield Wipeout,Christophe Beck,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,804.0,2391.0,Windshield Wipeout,2kOH9frelOfDsRCtMmFqEy,https://open.spotify.com/track/2kOH9frelOfDsRCtMmFqEy,7.0,C#,major,3B,154.0,53.0,28.0,10.0,49.0,60.0,25.0,3.0,-11.0,7.779466967458324,Christophe Beck,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
423108,The Conjuring: The Devil Made Me Do It,35334900,15,Beast asserting,Joseph Bishara,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,141.0,350.0,Beast asserting,3YCjOIIvkkzwE0wtmyNfSY,https://open.spotify.com/track/3YCjOIIvkkzwE0wtmyNfSY,1.0,A#,minor,3A,170.0,24.0,8.0,4.0,24.0,89.0,12.0,4.0,-20.0,5.857933154483459,Joseph Bishara,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
758009,Shotgun Wedding,41368262,17,Tom Surrenders,Pinar Toprak,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0,18.0,Tom Surrenders,6TEYai6HVJVjaMpiFAt4bx,https://open.spotify.com/track/6TEYai6HVJVjaMpiFAt4bx,0.0,F,minor,4A,102.0,17.0,32.0,5.0,80.0,80.0,25.0,4.0,-20.0,2.8903717578961645,Pinar Toprak,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
484247,A Simple Favor,26268301,11,Grim News,Theodore Shapiro,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.0,727.0,Grim News,7LbQDRvPY70T2zRsOdsZ6u,https://open.spotify.com/track/7LbQDRvPY70T2zRsOdsZ6u,3.0,D,major,10B,77.0,19.0,22.0,9.0,81.0,65.0,12.0,5.0,-18.0,6.588926477533519,Theodore Shapiro,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
293660,Deadpool,20132330,18,Going Commando,Tom Holkenborg,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,59.0,147.0,Going Commando,0cLcXcRsaYKyvDfoASYVbM,https://open.spotify.com/track/0cLcXcRsaYKyvDfoASYVbM,21.0,A#,minor,3A,72.0,61.0,23.0,4.0,25.0,88.0,9.0,10.0,-11.0,4.990432586778736,Tom Holkenborg,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
419478,Midnight Sun,25916867,19,Skinny Dip Kiss,Nathaniel Walcott,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,253.0,1046.0,Skinny Dip Kiss,54H9kleeDniln5Jx7tJude,https://open.spotify.com/track/54H9kleeDniln5Jx7tJude,11.0,C,major,8B,128.0,95.0,69.0,68.0,5.0,74.0,19.0,11.0,-4.0,6.952728644624869,Nate Walcott,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
